generation,best_fitness,elapsed_time
0,-30,0.017454147338867188
1,-30,0.0323030948638916
2,-10,0.047866106033325195
3,1090.0,0.06403493881225586
4,1098.0,0.07805371284484863
5,1098.0,0.09330248832702637
6,1098.0,0.10500121116638184
7,1098.0,0.1139369010925293
8,1098.0,0.12195968627929688
9,1098.0,0.1288604736328125
10,1098.0,0.13637614250183105
11,1098.0,0.14135122299194336
12,1098.0,0.14737939834594727
13,1098.0,0.1549842357635498
14,1098.0,0.16153883934020996
15,1098.0,0.16759991645812988
16,1098.0,0.1736621856689453
17,1098.0,0.1806788444519043
18,1098.0,0.1867365837097168
19,1098.0,0.19232749938964844
20,1098.0,0.19937515258789062
21,1098.0,0.20597434043884277
22,1098.0,0.21143198013305664
23,1098.0,0.21813535690307617
24,1098.0,0.22520184516906738
25,1098.0,0.23187017440795898
26,1098.0,0.23893094062805176
27,1098.0,0.24451136589050293
28,1098.0,0.2502400875091553
29,1098.0,0.2579200267791748
30,1098.0,0.26610493659973145
31,1098.0,0.2731950283050537
32,1098.0,0.2791881561279297
33,1098.0,0.2856776714324951
34,1098.0,0.29329848289489746
35,1098.0,0.3014185428619385
36,1098.0,0.308621883392334
37,1098.0,0.3175201416015625
38,1098.0,0.3256406784057617
39,1098.0,0.3351564407348633
40,1098.0,0.34170985221862793
41,1098.0,0.3491799831390381
42,1098.0,0.35773181915283203
43,1098.0,0.3627498149871826
44,1098.0,0.36979222297668457
45,1098.0,0.375302791595459
46,1098.0,0.3840935230255127
47,1098.0,0.3892369270324707
48,1098.0,0.39630579948425293
49,1098.0,0.4025688171386719
50,1098.0,0.40947532653808594
51,1098.0,0.415999174118042
52,1098.0,0.42252683639526367
53,1098.0,0.42923474311828613
54,1098.0,0.4367506504058838
55,1098.0,0.443087100982666
56,1098.0,0.4497659206390381
57,1098.0,0.45795345306396484
58,1098.0,0.463472843170166
59,1098.0,0.47100400924682617
60,1098.0,0.4773235321044922
61,1098.0,0.4838845729827881
62,1098.0,0.4913010597229004
63,1098.0,0.4994313716888428
64,1098.0,0.5059478282928467
65,1098.0,0.5137856006622314
66,1098.0,0.5244712829589844
67,1098.0,0.5323028564453125
68,1098.0,0.5383396148681641
69,1098.0,0.5448577404022217
70,1098.0,0.5502095222473145
71,1098.0,0.557243824005127
72,1098.0,0.563770055770874
73,1098.0,0.5706968307495117
74,1098.0,0.5762228965759277
75,1098.0,0.5838768482208252
76,1098.0,0.5909783840179443
77,1098.0,0.598273754119873
78,1098.0,0.6065058708190918
79,1098.0,0.6129400730133057
80,1098.0,0.6216721534729004
81,1098.0,0.6291408538818359
82,1098.0,0.635460615158081
83,1098.0,0.643059253692627
84,1098.0,0.6500446796417236
85,1098.0,0.6565780639648438
86,1098.0,0.6646134853363037
87,1098.0,0.6706428527832031
88,1098.0,0.6771821975708008
89,1098.0,0.6883525848388672
90,1098.0,0.6950597763061523
91,1098.0,0.7006232738494873
92,1098.0,0.7066593170166016
93,1098.0,0.7141814231872559
94,1098.0,0.7223777770996094
95,1098.0,0.7314598560333252
96,1098.0,0.7389786243438721
97,1098.0,0.7459957599639893
98,1098.0,0.7535178661346436
99,1098.0,0.7602007389068604
