round,average_global_reward,elapsed_time
0,-100.0,0.00560760498046875
1,-100.0,0.01011800765991211
2,-100.0,0.015722990036010742
3,-100.0,0.020261526107788086
4,-100.0,0.025662899017333984
5,-100.0,0.03219199180603027
6,-100.0,0.039170026779174805
7,-100.0,0.04523277282714844
8,-100.0,0.0522921085357666
9,-100.0,0.05982494354248047
10,-100.0,0.06534147262573242
11,-100.0,0.07247662544250488
12,-100.0,0.0776059627532959
13,-100.0,0.08410906791687012
14,91.0,0.09127616882324219
15,-100.0,0.09732341766357422
16,91.0,0.10302495956420898
17,93.0,0.10705089569091797
18,93.0,0.11041760444641113
19,93.0,0.11392617225646973
20,93.0,0.12012362480163574
21,93.0,0.12534046173095703
22,93.0,0.1299583911895752
23,93.0,0.13662147521972656
24,93.0,0.14117670059204102
25,93.0,0.1447134017944336
26,93.0,0.1503467559814453
27,93.0,0.15540051460266113
28,93.0,0.16133379936218262
29,93.0,0.1666717529296875
30,93.0,0.173004150390625
31,93.0,0.17800211906433105
32,93.0,0.1825249195098877
33,93.0,0.18753767013549805
34,93.0,0.19154834747314453
35,93.0,0.1954503059387207
36,93.0,0.204939603805542
37,93.0,0.20993781089782715
38,93.0,0.2166914939880371
39,93.0,0.22169947624206543
40,93.0,0.22722268104553223
41,93.0,0.23223066329956055
42,93.0,0.23731470108032227
43,93.0,0.24408435821533203
44,93.0,0.25167346000671387
45,93.0,0.2594139575958252
46,93.0,0.26493334770202637
47,93.0,0.27200984954833984
48,93.0,0.27767205238342285
49,93.0,0.2822117805480957
50,93.0,0.2867560386657715
51,93.0,0.2921016216278076
52,93.0,0.2986886501312256
53,93.0,0.3052647113800049
54,93.0,0.31045985221862793
55,93.0,0.3175389766693115
56,93.0,0.3236250877380371
57,93.0,0.3296225070953369
58,93.0,0.3349463939666748
59,93.0,0.34250807762145996
60,93.0,0.34755778312683105
61,93.0,0.3553755283355713
62,93.0,0.36156487464904785
63,93.0,0.36674952507019043
64,93.0,0.3727991580963135
65,93.0,0.3795008659362793
