	episode	total_reward	elapsed_time
count	100.0	100.0	100.0
mean	49.5	-64.33	0.04721594095230098
std	29.011491975882016	49.227374949761895	0.028879947183007067
min	0.0	-230.0	0.0009815692901611
25%	24.75	-85.5	0.023773729801177926
50%	49.5	-61.0	0.043669581413269
75%	74.25	-51.0	0.07113897800445552
max	99.0	92.0	0.0969383716583252
