	round	average_global_reward	elapsed_time
count	300.0	300.0	300.0
mean	149.5	83.33666666666667	1.0119022186597189
std	86.74675786448736	42.1309075000545	0.626211964154011
min	0.0	-100.0	0.0056076049804687
25%	74.75	93.0	0.4405726194381714
50%	149.5	93.0	1.0368322134017944
75%	224.25	93.0	1.57542222738266
max	299.0	93.0	2.0466649532318115
