	round	global_best_fitness	elapsed_time
count	300.0	300.0	300.0
mean	149.5	1106.0	3.0965780448913574
std	86.74675786448736	0.0	1.7224633232084892
min	0.0	1106.0	0.0266079902648925
25%	74.75	1106.0	1.6239172220230103
50%	149.5	1106.0	3.1544617414474487
75%	224.25	1106.0	4.645594239234924
max	299.0	1106.0	5.8473992347717285
