	generation	best_fitness	elapsed_time
count	100.0	100.0	100.0
mean	49.5	1064.28	0.40570927143096924
std	29.011491975882016	192.24332645284866	0.20621002582882253
min	0.0	-30.0	0.0174541473388671
25%	24.75	1098.0	0.230203092098236
50%	49.5	1098.0	0.4060220718383789
75%	74.25	1098.0	0.5781363844871521
max	99.0	1098.0	0.7602007389068604
