round,global_best_fitness,elapsed_time
0,1106.0,0.026607990264892578
1,1106.0,0.045603275299072266
2,1106.0,0.06703495979309082
3,1106.0,0.08844637870788574
4,1106.0,0.10912108421325684
5,1106.0,0.12880611419677734
6,1106.0,0.1478893756866455
7,1106.0,0.16852498054504395
8,1106.0,0.18763446807861328
9,1106.0,0.2074131965637207
10,1106.0,0.2301924228668213
11,1106.0,0.251558780670166
12,1106.0,0.2763996124267578
13,1106.0,0.30349278450012207
14,1106.0,0.33094143867492676
15,1106.0,0.3518490791320801
16,1106.0,0.3742833137512207
17,1106.0,0.39461636543273926
18,1106.0,0.41520214080810547
19,1106.0,0.43589353561401367
20,1106.0,0.4577972888946533
21,1106.0,0.4763350486755371
22,1106.0,0.4968552589416504
23,1106.0,0.5171475410461426
24,1106.0,0.5371840000152588
25,1106.0,0.5557534694671631
26,1106.0,0.5779287815093994
27,1106.0,0.5986499786376953
28,1106.0,0.617619514465332
29,1106.0,0.637545108795166
30,1106.0,0.6601412296295166
31,1106.0,0.681255578994751
32,1106.0,0.7024509906768799
33,1106.0,0.7222912311553955
34,1106.0,0.7414040565490723
35,1106.0,0.7621207237243652
36,1106.0,0.7826981544494629
37,1106.0,0.8064155578613281
38,1106.0,0.8279814720153809
39,1106.0,0.8487992286682129
40,1106.0,0.8687233924865723
41,1106.0,0.8917443752288818
42,1106.0,0.9133870601654053
43,1106.0,0.9341104030609131
44,1106.0,0.9542732238769531
45,1106.0,0.9751307964324951
46,1106.0,0.9993813037872314
47,1106.0,1.0187411308288574
48,1106.0,1.0431616306304932
49,1106.0,1.0628206729888916
50,1106.0,1.0830562114715576
51,1106.0,1.1057088375091553
52,1106.0,1.1262729167938232
53,1106.0,1.1471717357635498
54,1106.0,1.1693203449249268
55,1106.0,1.1933469772338867
56,1106.0,1.2141664028167725
57,1106.0,1.2347121238708496
58,1106.0,1.255403757095337
59,1106.0,1.2778854370117188
60,1106.0,1.298644781112671
61,1106.0,1.319322109222412
62,1106.0,1.3414690494537354
63,1106.0,1.3622756004333496
64,1106.0,1.3820672035217285
65,1106.0,1.4078068733215332
66,1106.0,1.4323179721832275
67,1106.0,1.4570906162261963
68,1106.0,1.480919361114502
69,1106.0,1.5103034973144531
70,1106.0,1.5301523208618164
71,1106.0,1.5487072467803955
72,1106.0,1.5697968006134033
73,1106.0,1.5894901752471924
74,1106.0,1.6095781326293945
75,1106.0,1.6286969184875488
76,1106.0,1.648094654083252
77,1106.0,1.6683900356292725
78,1106.0,1.6890196800231934
79,1106.0,1.7075700759887695
80,1106.0,1.7264764308929443
81,1106.0,1.7479383945465088
82,1106.0,1.7696740627288818
83,1106.0,1.7892277240753174
84,1106.0,1.8098108768463135
85,1106.0,1.8301377296447754
86,1106.0,1.8506360054016113
87,1106.0,1.8718771934509277
88,1106.0,1.893867015838623
89,1106.0,1.913696527481079
90,1106.0,1.9327929019927979
91,1106.0,1.953798532485962
92,1106.0,1.9755058288574219
93,1106.0,1.995497465133667
94,1106.0,2.017246961593628
95,1106.0,2.036280632019043
96,1106.0,2.056530475616455
97,1106.0,2.0773255825042725
98,1106.0,2.0979790687561035
99,1106.0,2.1161134243011475
100,1106.0,2.136756420135498
101,1106.0,2.1556332111358643
102,1106.0,2.1759464740753174
103,1106.0,2.1977336406707764
104,1106.0,2.21628999710083
105,1106.0,2.2372775077819824
106,1106.0,2.256716012954712
107,1106.0,2.279440402984619
108,1106.0,2.2996914386749268
109,1106.0,2.3192756175994873
110,1106.0,2.3420486450195312
111,1106.0,2.3617007732391357
112,1106.0,2.383517265319824
113,1106.0,2.4026825428009033
114,1106.0,2.4286463260650635
115,1106.0,2.4494667053222656
116,1106.0,2.467893123626709
117,1106.0,2.48940110206604
118,1106.0,2.5103468894958496
119,1106.0,2.5327532291412354
120,1106.0,2.554494619369507
121,1106.0,2.5757222175598145
