round,global_best_fitness,elapsed_time
0,1102.0,0.031145811080932617
1,1102.0,0.055728912353515625
2,1102.0,0.07821011543273926
3,1102.0,0.09882712364196777
4,1102.0,0.11852741241455078
5,1102.0,0.14366531372070312
6,1102.0,0.16596102714538574
7,1102.0,0.1836099624633789
8,1102.0,0.2039351463317871
9,1102.0,0.22450470924377441
10,1102.0,0.2447342872619629
11,1102.0,0.26612329483032227
12,1102.0,0.2843179702758789
13,1102.0,0.30756688117980957
14,1102.0,0.32981038093566895
15,1102.0,0.3539741039276123
16,1102.0,0.3808166980743408
17,1102.0,0.4074225425720215
18,1102.0,0.43964076042175293
19,1102.0,0.4657762050628662
20,1102.0,0.48517560958862305
21,1102.0,0.5069036483764648
22,1102.0,0.5305569171905518
23,1102.0,0.5518605709075928
24,1102.0,0.5721681118011475
25,1102.0,0.5955431461334229
26,1102.0,0.6190643310546875
27,1102.0,0.6403052806854248
28,1102.0,0.6604876518249512
29,1102.0,0.710690975189209
30,1102.0,0.7337706089019775
31,1102.0,0.7555124759674072
32,1102.0,0.7822072505950928
33,1102.0,0.804534912109375
34,1102.0,0.8273091316223145
35,1102.0,0.8509693145751953
36,1102.0,0.87408447265625
37,1102.0,0.8942358493804932
38,1102.0,0.9125726222991943
39,1102.0,0.9327423572540283
40,1102.0,0.9539954662322998
41,1102.0,0.972339391708374
42,1102.0,0.9938209056854248
43,1102.0,1.016831636428833
44,1102.0,1.0351886749267578
45,1102.0,1.0574004650115967
46,1102.0,1.0795066356658936
47,1102.0,1.1009273529052734
48,1102.0,1.1263105869293213
49,1102.0,1.1469993591308594
50,1102.0,1.1658151149749756
51,1102.0,1.1853795051574707
52,1102.0,1.2091174125671387
53,1102.0,1.234745740890503
54,1102.0,1.2586994171142578
55,1102.0,1.281073808670044
56,1102.0,1.303584337234497
57,1102.0,1.3261864185333252
58,1102.0,1.3467705249786377
59,1102.0,1.3678112030029297
60,1102.0,1.3902344703674316
61,1102.0,1.4144115447998047
62,1102.0,1.434227705001831
63,1102.0,1.4587984085083008
64,1102.0,1.4875528812408447
65,1102.0,1.5172266960144043
66,1102.0,1.5560219287872314
67,1102.0,1.5797078609466553
68,1102.0,1.6040732860565186
69,1102.0,1.6266345977783203
70,1102.0,1.6467571258544922
71,1102.0,1.6674282550811768
72,1102.0,1.6888673305511475
73,1102.0,1.7093653678894043
74,1102.0,1.7335865497589111
75,1102.0,1.7568039894104004
76,1102.0,1.7840545177459717
77,1102.0,1.8054287433624268
78,1102.0,1.825253963470459
79,1102.0,1.8470501899719238
80,1102.0,1.8690223693847656
81,1102.0,1.889418125152588
82,1102.0,1.9104890823364258
83,1102.0,1.932781457901001
84,1102.0,1.953948736190796
85,1102.0,1.9741692543029785
86,1102.0,1.9956693649291992
87,1102.0,2.020228385925293
88,1102.0,2.0393002033233643
89,1102.0,2.0634825229644775
90,1102.0,2.088158369064331
91,1102.0,2.107196807861328
92,1102.0,2.1274499893188477
93,1102.0,2.150176525115967
94,1102.0,2.170440673828125
95,1102.0,2.1926441192626953
96,1102.0,2.2206902503967285
97,1102.0,2.2374768257141113
98,1102.0,2.262989044189453
99,1102.0,2.293283224105835
100,1102.0,2.316452980041504
101,1102.0,2.3358192443847656
102,1102.0,2.3572840690612793
103,1102.0,2.3777871131896973
104,1102.0,2.3975942134857178
105,1102.0,2.4168882369995117
106,1102.0,2.4366915225982666
107,1102.0,2.4609532356262207
108,1102.0,2.4826481342315674
109,1102.0,2.5068182945251465
110,1102.0,2.5264577865600586
111,1102.0,2.545609474182129
112,1102.0,2.5659828186035156
113,1102.0,2.5911829471588135
114,1102.0,2.6198339462280273
115,1102.0,2.6492698192596436
116,1102.0,2.673813581466675
117,1102.0,2.6959173679351807
118,1102.0,2.7178025245666504
119,1102.0,2.736706256866455
120,1102.0,2.756509304046631
121,1102.0,2.7751808166503906
122,1102.0,2.797025680541992
123,1102.0,2.815305471420288
124,1102.0,2.8351821899414062
125,1102.0,2.856328010559082
126,1102.0,2.880406141281128
127,1102.0,2.9014394283294678
128,1102.0,2.9227378368377686
129,1102.0,2.941871166229248
130,1102.0,2.962306022644043
131,1102.0,2.983828544616699
132,1102.0,3.0073089599609375
133,1102.0,3.0303893089294434
134,1102.0,3.051024913787842
135,1102.0,3.0702273845672607
136,1102.0,3.0878138542175293
137,1102.0,3.1096184253692627
138,1102.0,3.13189435005188
139,1102.0,3.1527016162872314
140,1102.0,3.1751251220703125
141,1102.0,3.1971957683563232
142,1102.0,3.216235399246216
143,1102.0,3.237138271331787
144,1102.0,3.2597427368164062
145,1102.0,3.2830212116241455
146,1102.0,3.306638479232788
147,1102.0,3.3267688751220703
148,1102.0,3.3469064235687256
149,1102.0,3.367650270462036
150,1102.0,3.415264368057251
151,1102.0,3.435452699661255
152,1102.0,3.4544241428375244
153,1102.0,3.4765336513519287
154,1102.0,3.4987030029296875
155,1102.0,3.5232653617858887
156,1102.0,3.542436122894287
157,1102.0,3.5660760402679443
158,1102.0,3.594252109527588
159,1102.0,3.618497133255005
160,1102.0,3.6386148929595947
161,1102.0,3.6600985527038574
162,1102.0,3.682323932647705
163,1102.0,3.7112038135528564
164,1102.0,3.7344489097595215
165,1102.0,3.7583208084106445
166,1102.0,3.7859606742858887
167,1102.0,3.8071846961975098
168,1102.0,3.8294715881347656
169,1102.0,3.8486521244049072
170,1102.0,3.868612766265869
171,1102.0,3.8904035091400146
172,1102.0,3.9095797538757324
173,1102.0,3.930180549621582
174,1102.0,3.9488985538482666
175,1102.0,3.969674587249756
