round,global_best_fitness,elapsed_time
0,1098.0,0.05668449401855469
1,1098.0,0.09326934814453125
2,1098.0,0.12853288650512695
3,1098.0,0.1665055751800537
4,1098.0,0.19986271858215332
5,1098.0,0.2319483757019043
6,1098.0,0.26886701583862305
7,1098.0,0.30227088928222656
8,1098.0,0.3362419605255127
9,1098.0,0.3721933364868164
10,1098.0,0.4085385799407959
11,1098.0,0.44322633743286133
12,1098.0,0.48038697242736816
13,1098.0,0.5156712532043457
14,1098.0,0.5499651432037354
15,1098.0,0.5848493576049805
16,1098.0,0.6193938255310059
17,1098.0,0.6541898250579834
18,1098.0,0.6858434677124023
19,1098.0,0.7280683517456055
20,1098.0,0.7588472366333008
21,1098.0,0.7954854965209961
22,1098.0,0.8304839134216309
23,1098.0,0.8641283512115479
24,1098.0,0.8994009494781494
25,1098.0,0.9346165657043457
26,1098.0,0.9679999351501465
27,1098.0,0.9985630512237549
28,1098.0,1.0309975147247314
29,1098.0,1.064138650894165
30,1098.0,1.0944879055023193
31,1098.0,1.1289560794830322
32,1098.0,1.1621208190917969
33,1098.0,1.1945102214813232
34,1098.0,1.2304441928863525
35,1098.0,1.2629830837249756
36,1098.0,1.2975709438323975
37,1098.0,1.3324551582336426
38,1098.0,1.3696751594543457
39,1098.0,1.4076497554779053
40,1098.0,1.4404206275939941
41,1098.0,1.4768879413604736
42,1098.0,1.511949062347412
43,1098.0,1.5517618656158447
44,1098.0,1.5885024070739746
45,1098.0,1.6218464374542236
46,1098.0,1.6559062004089355
47,1098.0,1.6924972534179688
48,1098.0,1.7236554622650146
49,1098.0,1.7569239139556885
50,1098.0,1.7904822826385498
51,1098.0,1.8230314254760742
52,1098.0,1.8553264141082764
53,1098.0,1.8905575275421143
54,1098.0,1.9285321235656738
55,1098.0,1.960153341293335
56,1098.0,1.9974520206451416
57,1098.0,2.033071756362915
58,1098.0,2.0711793899536133
59,1098.0,2.1054799556732178
60,1098.0,2.138803482055664
61,1098.0,2.1730308532714844
62,1098.0,2.2085018157958984
63,1098.0,2.2447667121887207
64,1098.0,2.279902458190918
65,1098.0,2.3146185874938965
66,1098.0,2.352586269378662
67,1098.0,2.386807918548584
68,1098.0,2.4186511039733887
69,1098.0,2.4572982788085938
70,1098.0,2.491816282272339
71,1098.0,2.5242629051208496
72,1098.0,2.5596954822540283
73,1098.0,2.591560125350952
74,1098.0,2.6292810440063477
75,1098.0,2.673675775527954
76,1098.0,2.7100794315338135
77,1098.0,2.742774486541748
78,1098.0,2.7750675678253174
79,1098.0,2.8114452362060547
80,1098.0,2.8434200286865234
81,1098.0,2.8773157596588135
82,1098.0,2.911126136779785
83,1098.0,2.9424378871917725
84,1098.0,2.9780054092407227
85,1098.0,3.0151138305664062
86,1098.0,3.050703287124634
87,1098.0,3.086195230484009
88,1098.0,3.1235010623931885
89,1098.0,3.1566951274871826
90,1098.0,3.192812442779541
91,1098.0,3.230428695678711
92,1098.0,3.2657437324523926
93,1098.0,3.299771547317505
94,1098.0,3.3357768058776855
95,1098.0,3.3690998554229736
96,1098.0,3.404515266418457
97,1098.0,3.4376962184906006
98,1098.0,3.4743239879608154
99,1098.0,3.508974313735962
100,1098.0,3.545032501220703
101,1098.0,3.5773916244506836
102,1098.0,3.6136059761047363
103,1098.0,3.651510000228882
104,1098.0,3.6871066093444824
105,1098.0,3.725752353668213
106,1098.0,3.7636404037475586
107,1098.0,3.8141136169433594
108,1098.0,3.8479416370391846
109,1098.0,3.88191294670105
110,1098.0,3.914853096008301
111,1098.0,3.9495532512664795
112,1098.0,3.9805126190185547
113,1098.0,4.013030290603638
114,1098.0,4.044297695159912
115,1098.0,4.073709011077881
116,1098.0,4.104267120361328
117,1098.0,4.136948585510254
118,1098.0,4.167365074157715
119,1098.0,4.200000286102295
120,1098.0,4.228888034820557
121,1098.0,4.258629560470581
122,1098.0,4.287986993789673
123,1098.0,4.319311857223511
124,1098.0,4.34531044960022
125,1098.0,4.372019052505493
126,1098.0,4.402725458145142
127,1098.0,4.429124355316162
128,1098.0,4.4554877281188965
129,1098.0,4.482654809951782
130,1098.0,4.517631769180298
131,1098.0,4.543389320373535
132,1098.0,4.567147970199585
133,1098.0,4.5973570346832275
134,1098.0,4.623438835144043
135,1098.0,4.64668869972229
136,1098.0,4.669419527053833
137,1098.0,4.693226099014282
138,1098.0,4.716587543487549
139,1098.0,4.744311094284058
140,1098.0,4.770408868789673
141,1098.0,4.798092365264893
142,1098.0,4.824749231338501
143,1098.0,4.851949691772461
144,1098.0,4.8856141567230225
145,1098.0,4.9212000370025635
146,1098.0,4.954691410064697
147,1098.0,4.9795823097229
148,1098.0,5.005449056625366
149,1098.0,5.0317182540893555
150,1098.0,5.055217742919922
151,1098.0,5.081520080566406
152,1098.0,5.10828971862793
153,1098.0,5.1347479820251465
154,1098.0,5.161858320236206
155,1098.0,5.19091010093689
156,1098.0,5.2120654582977295
157,1098.0,5.2358949184417725
158,1098.0,5.263186931610107
159,1098.0,5.288931369781494
160,1098.0,5.317618370056152
161,1098.0,5.345995187759399
162,1098.0,5.373140811920166
163,1098.0,5.403125286102295
164,1098.0,5.429844379425049
165,1098.0,5.457920074462891
166,1098.0,5.484299659729004
167,1098.0,5.507659912109375
168,1098.0,5.531874179840088
169,1098.0,5.55917763710022
170,1098.0,5.587421894073486
171,1098.0,5.609437942504883
172,1098.0,5.635003328323364
173,1098.0,5.662020206451416
174,1098.0,5.69019889831543
175,1098.0,5.716397523880005
176,1098.0,5.740063667297363
177,1098.0,5.76565957069397
178,1098.0,5.7887866497039795
