round,global_frame_count,average_client_reward,average_evaluation_reward,time_elapsed_seconds,round_duration_seconds
1,1864,1.3,2.0,564.6169550418854,564.6159310340881
2,3625,1.1,0.8,1058.2107985019684,493.593843460083
3,5544,1.3,1.0,1603.4547197818756,545.2439212799072
4,7442,1.1,1.8,2317.9150602817535,714.4593088626862
5,9623,2.0,0.8,2965.9815213680267,648.0654673576355
