episode,total_reward,elapsed_time
0,-103,0.0
1,-50,0.0019974708557128906
2,-52,0.0038781166076660156
3,-50,0.00489044189453125
4,-50,0.006905794143676758
5,-55,0.008408546447753906
6,40,0.010433435440063477
7,-67,0.011432886123657227
8,-69,0.012429475784301758
9,-50,0.013432741165161133
10,-50,0.014445304870605469
11,-70,0.01644587516784668
12,-60,0.01644587516784668
13,-50,0.0185239315032959
14,-50,0.019536733627319336
15,-79,0.024077415466308594
16,-50,0.02709507942199707
17,-50,0.029092788696289062
18,-50,0.030615568161010742
19,-50,0.03168439865112305
20,-55,0.032369136810302734
21,-52,0.033380985260009766
22,-54,0.03489851951599121
23,-70,0.03489851951599121
24,-50,0.036406517028808594
25,-113,0.03742074966430664
26,-60,0.03841853141784668
27,-50,0.03841853141784668
28,72,0.03993034362792969
29,-50,0.0409390926361084
30,-50,0.04194068908691406
31,-55,0.04294776916503906
32,-81,0.04412698745727539
33,-50,0.04495096206665039
34,-146,0.04896402359008789
35,-50,0.0505070686340332
36,-50,0.05151700973510742
37,-82,0.05151700973510742
38,-125,0.05252504348754883
39,-72,0.055031776428222656
40,-55,0.055031776428222656
41,-76,0.056044578552246094
42,-54,0.0570528507232666
43,-53,0.058052778244018555
44,-50,0.060054779052734375
45,-50,0.06156444549560547
46,-59,0.06309056282043457
47,-50,0.06409478187561035
48,-50,0.06509113311767578
49,-87,0.06616687774658203
50,-50,0.06767559051513672
51,-50,0.06887006759643555
52,-50,0.06968951225280762
53,-61,0.07255911827087402
54,-78,0.07556843757629395
55,-77,0.07657480239868164
56,-92,0.07808566093444824
57,-56,0.07909703254699707
58,-50,0.08010315895080566
59,-57,0.08010315895080566
60,-94,0.08109784126281738
61,73,0.08109784126281738
62,-52,0.08260369300842285
63,-69,0.08361172676086426
64,-80,0.08461308479309082
65,-120,0.08613014221191406
66,-55,0.08613014221191406
67,-50,0.08712530136108398
68,-52,0.08712530136108398
69,-140,0.08863687515258789
70,-65,0.09081244468688965
71,74,0.09182476997375488
72,-50,0.0933675765991211
73,-53,0.09494781494140625
74,-50,0.09696292877197266
75,-57,0.09813833236694336
76,-100,0.1006767749786377
77,-50,0.1016695499420166
78,-52,0.10267257690429688
79,-50,0.10267257690429688
80,-50,0.10367035865783691
81,-50,0.10418128967285156
82,-53,0.1046895980834961
83,-62,0.10570311546325684
84,-73,0.10669994354248047
85,75,0.10669994354248047
86,-59,0.10770249366760254
87,-108,0.10872435569763184
88,-76,0.10872435569763184
89,89,0.10872435569763184
90,-58,0.11023497581481934
91,-50,0.11023497581481934
92,80,0.11124229431152344
93,-50,0.11224484443664551
94,85,0.11224484443664551
95,-95,0.11324381828308105
96,-54,0.11324381828308105
97,-55,0.11324381828308105
98,-50,0.11506152153015137
99,-50,0.11506152153015137
100,74,0.11606979370117188
101,-55,0.11606979370117188
102,-50,0.11706829071044922
103,-57,0.11706829071044922
104,-52,0.11806988716125488
105,-86,0.11937952041625977
106,-69,0.11937952041625977
107,-50,0.1210474967956543
108,21,0.12256217002868652
109,-61,0.12365150451660156
110,-50,0.12365150451660156
111,-58,0.12365150451660156
112,-58,0.12515830993652344
113,-52,0.12515830993652344
114,-64,0.12515830993652344
115,-55,0.1266944408416748
116,-61,0.1266944408416748
117,85,0.1277022361755371
118,-65,0.12870264053344727
119,84,0.12870264053344727
120,88,0.12970495223999023
121,-53,0.12970495223999023
122,-57,0.13070154190063477
123,-59,0.13171005249023438
124,-62,0.1322178840637207
125,-50,0.13322710990905762
126,-50,0.1342315673828125
127,-50,0.1342315673828125
128,69,0.1342315673828125
129,88,0.1357402801513672
130,94,0.13675165176391602
131,-50,0.13675165176391602
132,80,0.13775134086608887
133,-57,0.13775134086608887
134,89,0.13875198364257812
135,-50,0.14026999473571777
136,77,0.1412801742553711
137,-57,0.14228439331054688
138,-53,0.14328503608703613
139,-55,0.14328503608703613
140,-50,0.14479637145996094
141,-58,0.14479637145996094
142,-50,0.14580893516540527
143,94,0.14632058143615723
144,-50,0.14833354949951172
145,87,0.14933300018310547
146,-54,0.1513369083404541
147,-50,0.15284991264343262
148,-58,0.15284991264343262
149,-50,0.15385985374450684
150,-53,0.15385985374450684
151,-78,0.15496063232421875
152,-62,0.15585851669311523
153,-61,0.15585851669311523
154,-58,0.15795087814331055
155,-50,0.15896105766296387
156,80,0.15896105766296387
157,-50,0.16118454933166504
158,-50,0.16218042373657227
159,87,0.16369390487670898
160,-50,0.1647047996520996
161,-50,0.1647047996520996
162,88,0.1647047996520996
163,-50,0.166215181350708
164,-55,0.166215181350708
165,-50,0.166215181350708
166,92,0.16776537895202637
167,-53,0.16877317428588867
168,94,0.16877317428588867
169,89,0.16977763175964355
170,-66,0.16977763175964355
171,-50,0.16977763175964355
172,-52,0.17128467559814453
173,94,0.1723034381866455
174,-50,0.1723034381866455
175,84,0.1732950210571289
176,-53,0.17429280281066895
177,-52,0.17429280281066895
178,-56,0.1752934455871582
179,88,0.1752934455871582
180,92,0.1762988567352295
181,-50,0.17729401588439941
182,-54,0.1788034439086914
183,84,0.1793537139892578
184,-53,0.18036913871765137
185,-54,0.1813662052154541
186,94,0.18337106704711914
187,92,0.18436861038208008
188,-54,0.18536376953125
189,-58,0.18536376953125
190,94,0.18636441230773926
191,86,0.1873641014099121
192,-52,0.18836283683776855
193,-53,0.18836283683776855
194,-59,0.18936443328857422
195,-50,0.18936443328857422
196,94,0.19068408012390137
197,92,0.19068408012390137
198,83,0.19168448448181152
199,-50,0.19168448448181152
200,94,0.19268798828125
201,88,0.19319939613342285
202,92,0.19319939613342285
203,88,0.19420146942138672
204,-50,0.19520282745361328
205,-55,0.19643616676330566
206,87,0.1973893642425537
207,94,0.1973893642425537
208,-52,0.19838356971740723
209,90,0.19838356971740723
210,-50,0.1998896598815918
211,94,0.20090174674987793
212,-50,0.20090174674987793
213,92,0.2019026279449463
214,-50,0.2019026279449463
215,-53,0.20290207862854004
216,-54,0.20290207862854004
217,-50,0.20389842987060547
218,-50,0.20389842987060547
219,-56,0.20489835739135742
220,90,0.20589900016784668
221,-52,0.20701360702514648
222,-57,0.20809149742126465
223,92,0.20809149742126465
224,-50,0.20900940895080566
225,81,0.21051883697509766
226,94,0.21051883697509766
227,94,0.2115316390991211
228,-55,0.21252799034118652
229,-57,0.21252799034118652
230,90,0.21352934837341309
231,94,0.21452832221984863
232,-50,0.21452832221984863
233,-50,0.2155289649963379
234,92,0.2155289649963379
235,90,0.2155289649963379
236,94,0.21703839302062988
237,85,0.21805047988891602
238,92,0.21805047988891602
239,-54,0.21904945373535156
240,-56,0.2195577621459961
241,-50,0.2200620174407959
242,-68,0.2200620174407959
243,94,0.2210693359375
244,-55,0.2223653793334961
245,92,0.2223653793334961
246,94,0.22387290000915527
247,89,0.22387290000915527
248,-52,0.2248845100402832
249,92,0.22588229179382324
250,90,0.22588229179382324
251,-53,0.22588229179382324
252,94,0.22738885879516602
253,92,0.22840380668640137
254,-53,0.22840380668640137
255,88,0.2295701503753662
256,-56,0.23040127754211426
257,92,0.23040127754211426
258,92,0.23191356658935547
259,-55,0.2324659824371338
260,-53,0.23347997665405273
261,-52,0.23449110984802246
262,90,0.23449110984802246
263,94,0.23549342155456543
264,-52,0.23649168014526367
265,94,0.23649168014526367
266,94,0.23649168014526367
267,90,0.23901963233947754
268,-50,0.23901963233947754
269,88,0.2401580810546875
270,-61,0.24101495742797852
271,94,0.24101495742797852
272,-50,0.2425217628479004
273,-59,0.2425217628479004
274,90,0.24353480339050293
275,94,0.24353480339050293
276,83,0.24453020095825195
277,90,0.24553585052490234
278,90,0.24753212928771973
279,87,0.24904251098632812
280,-50,0.24904251098632812
281,-57,0.2505524158477783
282,-50,0.2505524158477783
283,-50,0.25156450271606445
284,-57,0.25156450271606445
285,89,0.25338149070739746
286,94,0.25338149070739746
287,-53,0.2540867328643799
288,94,0.2550935745239258
289,92,0.2550935745239258
290,-60,0.25609278678894043
291,94,0.25710010528564453
292,94,0.2586069107055664
293,87,0.25961852073669434
294,84,0.26161670684814453
295,88,0.26161670684814453
296,92,0.26350879669189453
297,88,0.264021635055542
298,94,0.2650337219238281
299,-53,0.2650337219238281
