round,average_global_reward,elapsed_time
0,-100.0,0.007315158843994141
1,-100.0,0.014855384826660156
2,-100.0,0.0243833065032959
3,95.0,0.03314709663391113
4,93.0,0.040198326110839844
5,95.0,0.04572439193725586
6,95.0,0.05224275588989258
7,95.0,0.0572812557220459
8,95.0,0.06280517578125
9,95.0,0.07158136367797852
10,95.0,0.07872533798217773
11,95.0,0.08651590347290039
12,95.0,0.09354543685913086
13,95.0,0.10099196434020996
14,95.0,0.10903310775756836
15,95.0,0.11506891250610352
16,95.0,0.1231541633605957
17,95.0,0.12867450714111328
18,95.0,0.13622641563415527
19,95.0,0.1427464485168457
20,95.0,0.14877820014953613
21,95.0,0.15482425689697266
22,95.0,0.16098308563232422
23,95.0,0.16838431358337402
24,95.0,0.17693877220153809
25,95.0,0.18245887756347656
26,95.0,0.1900787353515625
27,95.0,0.19924521446228027
28,95.0,0.20804762840270996
29,95.0,0.2161273956298828
30,95.0,0.22468900680541992
31,95.0,0.23223280906677246
32,95.0,0.2419118881225586
33,95.0,0.2504591941833496
34,95.0,0.25696587562561035
35,95.0,0.2665748596191406
36,95.0,0.2766273021697998
37,95.0,0.28392601013183594
38,95.0,0.29590725898742676
39,95.0,0.3051154613494873
40,95.0,0.3126332759857178
41,95.0,0.3223450183868408
42,95.0,0.3283419609069824
43,95.0,0.33521294593811035
44,95.0,0.3434019088745117
45,95.0,0.35114192962646484
46,95.0,0.3619530200958252
47,95.0,0.36774635314941406
48,95.0,0.37378406524658203
49,95.0,0.38089966773986816
50,95.0,0.3881049156188965
51,95.0,0.39670372009277344
52,95.0,0.4066486358642578
53,95.0,0.41277098655700684
54,95.0,0.42156028747558594
55,95.0,0.42848968505859375
56,95.0,0.43451666831970215
57,95.0,0.44060254096984863
58,95.0,0.448164701461792
59,95.0,0.46146321296691895
60,95.0,0.4693756103515625
61,95.0,0.47765493392944336
62,95.0,0.48418641090393066
63,95.0,0.4907371997833252
64,95.0,0.49725890159606934
65,95.0,0.504427433013916
66,95.0,0.5134685039520264
67,95.0,0.52066969871521
68,95.0,0.5266685485839844
69,95.0,0.5362362861633301
70,95.0,0.5423016548156738
71,95.0,0.549548864364624
72,95.0,0.5560441017150879
73,95.0,0.5644643306732178
74,95.0,0.5714778900146484
75,95.0,0.5779860019683838
76,95.0,0.5845341682434082
77,95.0,0.5907752513885498
78,95.0,0.5988576412200928
79,95.0,0.6042499542236328
80,95.0,0.611706018447876
81,95.0,0.6198115348815918
82,95.0,0.6263720989227295
83,95.0,0.6344890594482422
84,95.0,0.641110897064209
85,95.0,0.6482667922973633
86,95.0,0.6538159847259521
87,95.0,0.6608707904815674
88,95.0,0.6676051616668701
89,95.0,0.6757161617279053
90,95.0,0.6828434467315674
91,95.0,0.6923689842224121
92,95.0,0.7020072937011719
93,95.0,0.7114653587341309
94,95.0,0.7190103530883789
95,95.0,0.7265667915344238
96,95.0,0.7325518131256104
97,95.0,0.7433664798736572
98,95.0,0.7500274181365967
99,95.0,0.7565491199493408
100,95.0,0.7626502513885498
101,95.0,0.770190954208374
102,95.0,0.7785847187042236
103,95.0,0.7856388092041016
104,95.0,0.7917671203613281
105,95.0,0.7977521419525146
106,95.0,0.8059093952178955
107,95.0,0.8136663436889648
108,95.0,0.820253849029541
109,95.0,0.8263075351715088
110,95.0,0.8324427604675293
111,95.0,0.8395028114318848
112,95.0,0.846656322479248
113,95.0,0.8532989025115967
114,95.0,0.8608038425445557
115,95.0,0.867356538772583
116,95.0,0.8751962184906006
117,95.0,0.8821799755096436
118,95.0,0.8877019882202148
119,95.0,0.8967986106872559
120,95.0,0.9019041061401367
121,95.0,0.908989429473877
122,95.0,0.9149830341339111
123,95.0,0.9216606616973877
124,95.0,0.9288208484649658
125,95.0,0.9359357357025146
126,95.0,0.9427635669708252
127,95.0,0.9492847919464111
128,95.0,0.9547984600067139
129,95.0,0.960845947265625
130,95.0,0.9673800468444824
131,95.0,0.9759130477905273
132,95.0,0.9819478988647461
133,95.0,0.9895250797271729
134,95.0,0.9956204891204834
135,95.0,1.0018608570098877
