round,average_global_reward,elapsed_time
0,-50,0.013684988021850586
1,-50,0.026590347290039062
2,95,0.04068589210510254
3,95,0.056978702545166016
4,95,0.07294416427612305
5,95,0.08675384521484375
6,95,0.10076665878295898
7,95,0.11872291564941406
8,95,0.1333625316619873
9,95,0.14812636375427246
10,95,0.16400980949401855
11,95,0.22319483757019043
12,95,0.239823579788208
13,95,0.25217342376708984
14,95,0.26786279678344727
15,95,0.2825784683227539
16,95,0.2967824935913086
17,95,0.312835693359375
18,95,0.326444149017334
19,95,0.3405578136444092
20,95,0.35512495040893555
21,95,0.37021613121032715
22,95,0.3870842456817627
23,95,0.4030153751373291
24,95,0.4183685779571533
25,95,0.4332540035247803
26,95,0.44693851470947266
27,95,0.4596114158630371
28,95,0.472728967666626
29,95,0.49137163162231445
30,95,0.5061366558074951
31,95,0.5240621566772461
32,95,0.5376646518707275
33,95,0.5561923980712891
34,95,0.5773656368255615
35,95,0.5950510501861572
36,95,0.6069107055664062
37,95,0.6216325759887695
38,95,0.6422619819641113
39,95,0.6626150608062744
40,95,0.677654504776001
41,95,0.7008962631225586
42,95,0.7154405117034912
43,95,0.7350847721099854
44,95,0.7481319904327393
45,95,0.7637653350830078
46,95,0.7798407077789307
47,95,0.7977421283721924
48,95,0.8134562969207764
49,95,0.826796293258667
50,95,0.83962082862854
51,95,0.8560466766357422
52,95,0.8736207485198975
53,95,0.8876280784606934
54,95,0.9030184745788574
55,95,0.9176592826843262
56,95,0.9337160587310791
57,95,0.9474859237670898
58,95,0.9626359939575195
59,95,0.9772794246673584
60,95,0.9899330139160156
61,95,1.0044660568237305
62,95,1.0186152458190918
63,95,1.034681797027588
64,95,1.0485455989837646
65,95,1.0702948570251465
66,95,1.0842914581298828
67,95,1.1000556945800781
68,95,1.1142597198486328
69,95,1.125483751296997
70,95,1.1391003131866455
71,95,1.1562435626983643
72,95,1.167829990386963
73,95,1.1840767860412598
74,95,1.199775218963623
75,95,1.2194061279296875
76,95,1.2331972122192383
77,95,1.2460572719573975
78,95,1.2578308582305908
79,95,1.269420862197876
80,95,1.2803058624267578
81,95,1.2921664714813232
82,95,1.303506851196289
83,95,1.3186087608337402
84,95,1.3311972618103027
85,95,1.3468983173370361
86,95,1.3648192882537842
87,95,1.3765265941619873
88,95,1.3933680057525635
89,95,1.4041235446929932
90,95,1.418792963027954
91,95,1.4366514682769775
92,95,1.4532582759857178
93,95,1.4686810970306396
94,95,1.4827535152435303
95,95,1.5023937225341797
96,95,1.5157876014709473
97,95,1.5275540351867676
98,95,1.540771722793579
99,95,1.5766870975494385
