episode,total_reward,elapsed_time
0,-69,0.0005121231079101562
1,-53,0.002033710479736328
2,-51,0.004618167877197266
3,-84,0.008697271347045898
4,-141,0.011236906051635742
5,-53,0.012964248657226562
6,-53,0.01497197151184082
7,-83,0.01597142219543457
8,-53,0.017170190811157227
9,-156,0.019182205200195312
10,-52,0.02016615867614746
11,-138,0.022698163986206055
12,-66,0.024699687957763672
13,-64,0.025696277618408203
14,-120,0.027709484100341797
15,-60,0.027709484100341797
16,-68,0.029221057891845703
17,-95,0.029759645462036133
18,-21,0.030771732330322266
19,-55,0.03177237510681152
20,-51,0.03423571586608887
21,-52,0.036246538162231445
22,-62,0.03723263740539551
23,-51,0.03924727439880371
24,-70,0.04124617576599121
25,6,0.04276752471923828
26,-51,0.04550027847290039
27,-66,0.047496795654296875
28,-59,0.04901456832885742
29,-51,0.05104374885559082
30,-63,0.05303549766540527
31,76,0.05414319038391113
32,-89,0.055153608322143555
33,-77,0.056661367416381836
34,-51,0.05767464637756348
35,-99,0.059673309326171875
36,-54,0.059673309326171875
37,-64,0.06118607521057129
38,-56,0.0632021427154541
39,-68,0.06419730186462402
40,75,0.06526422500610352
41,92,0.06526422500610352
42,-55,0.06627440452575684
43,-108,0.06728816032409668
44,-51,0.07181715965270996
45,-52,0.07533121109008789
46,-53,0.07736539840698242
47,-63,0.07835674285888672
48,96,0.08189082145690918
49,-59,0.08442258834838867
50,-77,0.08593130111694336
51,-51,0.08695816993713379
52,-89,0.08847260475158691
53,-55,0.08948945999145508
54,-53,0.09048652648925781
55,-77,0.09150314331054688
56,-74,0.09450292587280273
57,-82,0.09862351417541504
58,-51,0.10062623023986816
59,-58,0.10263967514038086
60,-72,0.10565567016601562
61,81,0.10782313346862793
62,96,0.10884571075439453
63,-62,0.10984039306640625
64,96,0.11135482788085938
65,-67,0.1139380931854248
66,-57,0.11592555046081543
67,-52,0.12551403045654297
68,81,0.12703299522399902
69,96,0.12804555892944336
70,-67,0.13029909133911133
71,-51,0.13129925727844238
72,-58,0.13229870796203613
73,-54,0.13330483436584473
74,90,0.13431453704833984
75,-65,0.13532185554504395
76,-59,0.13731598854064941
77,-51,0.13731598854064941
78,-52,0.1398463249206543
79,-77,0.1408541202545166
80,-71,0.14386701583862305
81,-61,0.14590072631835938
82,-51,0.14788150787353516
83,-61,0.15241742134094238
84,94,0.15598273277282715
85,-53,0.15698647499084473
86,92,0.15850353240966797
87,96,0.15850353240966797
88,74,0.16005969047546387
89,-53,0.1616208553314209
90,-52,0.16315436363220215
91,-53,0.1647796630859375
92,-51,0.1647796630859375
93,-51,0.16634297370910645
94,94,0.16835689544677734
95,92,0.1693589687347412
96,-59,0.17035317420959473
97,-94,0.17426371574401855
98,90,0.17627477645874023
99,-58,0.178300142288208
100,-53,0.17929363250732422
101,-57,0.18284034729003906
102,-52,0.18498826026916504
103,-80,0.18750786781311035
104,-53,0.19003939628601074
105,-57,0.1910560131072998
106,-55,0.19259238243103027
107,90,0.19461965560913086
108,94,0.19916200637817383
109,80,0.20115900039672852
